IndName,IndCode,Direction,IndWeight,IntUnit,Agg_KC,Agg_NC,Agg_OBJ
5.1.a.2   bD3511,5.1.a.2 _ bD3511,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.2   Biod,5.1.a.2 _ Biod,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.2   Bioeth,5.1.a.2 _ Bioeth,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.2   C10,5.1.a.2 _ C10,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.2   C11,5.1.a.2 _ C11,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.2   C12,5.1.a.2 _ C12,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   A01,5.1.a.5 _ A01,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   A02,5.1.a.5 _ A02,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   A03,5.1.a.5 _ A03,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC13,5.1.a.5 _ bC13,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC14,5.1.a.5 _ bC14,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC15,5.1.a.5 _ bC15,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC16,5.1.a.5 _ bC16,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC17,5.1.a.5 _ bC17,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC21,5.1.a.5 _ bC21,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC22,5.1.a.5 _ bC22,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bC31,5.1.a.5 _ bC31,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bchem,5.1.a.5 _ bchem,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   bD3511,5.1.a.5 _ bD3511,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   Biod,5.1.a.5 _ Biod,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   Bioeth,5.1.a.5 _ Bioeth,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   C10,5.1.a.5 _ C10,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   C11,5.1.a.5 _ C11,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.a.5   C12,5.1.a.5 _ C12,1,1,pcannchg,BioeconinEcon,FosterEconDev,Competitiveness
5.1.b.1   A01,5.1.b.1 _ A01,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   A02,5.1.b.1 _ A02,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   A03,5.1.b.1 _ A03,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC13,5.1.b.1 _ bC13,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC14,5.1.b.1 _ bC14,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC15,5.1.b.1 _ bC15,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC16,5.1.b.1 _ bC16,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC17,5.1.b.1 _ bC17,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC21,5.1.b.1 _ bC21,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
