geo_code,time,value,type,indicator_id
LT,2009,0.91,fellings,2.2.a.1
LT,2010,0.90,fellings,2.2.a.1
LT,2011,0.90,fellings,2.2.a.1
LT,2012,0.90,fellings,2.2.a.1
LT,2013,0.98,fellings,2.2.a.1
LT,2014,1.14,fellings,2.2.a.1
LT,2015,0.87,fellings,2.2.a.1
LU,2000,0.60,fellings,2.2.a.1
LU,2001,0.62,fellings,2.2.a.1
LU,2002,0.59,fellings,2.2.a.1
LU,2003,0.59,fellings,2.2.a.1
LU,2004,0.64,fellings,2.2.a.1
LU,2005,0.57,fellings,2.2.a.1
LU,2006,0.61,fellings,2.2.a.1
LU,2007,0.67,fellings,2.2.a.1
LU,2008,0.80,fellings,2.2.a.1
LU,2009,0.61,fellings,2.2.a.1
LU,2010,0.61,fellings,2.2.a.1
LU,2011,0.59,fellings,2.2.a.1
LU,2012,0.59,fellings,2.2.a.1
LU,2013,0.68,fellings,2.2.a.1
LU,2014,0.78,fellings,2.2.a.1
LU,2015,0.82,fellings,2.2.a.1
HU,2000,1.12,fellings,2.2.a.1
HU,2001,1.07,fellings,2.2.a.1
HU,2002,1.13,fellings,2.2.a.1
HU,2003,1.21,fellings,2.2.a.1
HU,2004,1.21,fellings,2.2.a.1
HU,2005,1.16,fellings,2.2.a.1
HU,2006,1.07,fellings,2.2.a.1
HU,2007,1.07,fellings,2.2.a.1
HU,2008,1.04,fellings,2.2.a.1
HU,2009,0.95,fellings,2.2.a.1
HU,2010,0.85,fellings,2.2.a.1
HU,2011,0.98,fellings,2.2.a.1
HU,2012,0.83,fellings,2.2.a.1
HU,2013,1.01,fellings,2.2.a.1
HU,2014,1.10,fellings,2.2.a.1
HU,2015,0.94,fellings,2.2.a.1
NL,2000,0.52,fellings,2.2.a.1
NL,2001,0.44,fellings,2.2.a.1
NL,2002,0.42,fellings,2.2.a.1
NL,2003,0.50,fellings,2.2.a.1
NL,2004,0.50,fellings,2.2.a.1
NL,2005,0.54,fellings,2.2.a.1
NL,2006,0.53,fellings,2.2.a.1
NL,2007,0.49,fellings,2.2.a.1
NL,2008,0.56,fellings,2.2.a.1
NL,2009,0.50,fellings,2.2.a.1
NL,2010,0.54,fellings,2.2.a.1
NL,2011,0.49,fellings,2.2.a.1
NL,2012,0.48,fellings,2.2.a.1
NL,2013,0.57,fellings,2.2.a.1
NL,2014,0.64,fellings,2.2.a.1
NL,2015,0.63,fellings,2.2.a.1
AT,2000,0.46,fellings,2.2.a.1
AT,2001,0.46,fellings,2.2.a.1
AT,2002,0.50,fellings,2.2.a.1
AT,2003,0.60,fellings,2.2.a.1
AT,2004,0.60,fellings,2.2.a.1
AT,2005,0.58,fellings,2.2.a.1
AT,2006,0.68,fellings,2.2.a.1
AT,2007,0.78,fellings,2.2.a.1
AT,2008,0.80,fellings,2.2.a.1
AT,2009,0.60,fellings,2.2.a.1
AT,2010,0.64,fellings,2.2.a.1
AT,2011,0.68,fellings,2.2.a.1
AT,2012,0.63,fellings,2.2.a.1
AT,2013,0.71,fellings,2.2.a.1
AT,2014,0.70,fellings,2.2.a.1
AT,2015,0.72,fellings,2.2.a.1
PL,2000,0.51,fellings,2.2.a.1
PL,2001,0.49,fellings,2.2.a.1
PL,2002,0.52,fellings,2.2.a.1
PL,2003,0.57,fellings,2.2.a.1
PL,2004,0.60,fellings,2.2.a.1
PL,2005,0.58,fellings,2.2.a.1
PL,2006,0.59,fellings,2.2.a.1
PL,2007,0.64,fellings,2.2.a.1
PL,2008,0.63,fellings,2.2.a.1
PL,2009,0.64,fellings,2.2.a.1
PL,2010,0.65,fellings,2.2.a.1
PL,2011,0.67,fellings,2.2.a.1
PL,2012,0.67,fellings,2.2.a.1
PL,2013,0.72,fellings,2.2.a.1
PL,2014,0.76,fellings,2.2.a.1
PL,2015,0.78,fellings,2.2.a.1
PT,2000,0.74,fellings,2.2.a.1
PT,2001,0.55,fellings,2.2.a.1
PT,2002,0.60,fellings,2.2.a.1
PT,2003,1.24,fellings,2.2.a.1
PT,2004,0.73,fellings,2.2.a.1
PT,2005,1.08,fellings,2.2.a.1
PT,2006,0.70,fellings,2.2.a.1
PT,2007,0.59,fellings,2.2.a.1
PT,2008,0.53,fellings,2.2.a.1
PT,2009,0.51,fellings,2.2.a.1
PT,2010,0.61,fellings,2.2.a.1
PT,2011,0.49,fellings,2.2.a.1
PT,2012,0.73,fellings,2.2.a.1
PT,2013,0.69,fellings,2.2.a.1
PT,2014,0.64,fellings,2.2.a.1
PT,2015,0.70,fellings,2.2.a.1
RO,2000,0.78,fellings,2.2.a.1
RO,2001,0.81,fellings,2.2.a.1
RO,2002,0.59,fellings,2.2.a.1
RO,2003,0.84,fellings,2.2.a.1
RO,2004,0.89,fellings,2.2.a.1
RO,2005,0.80,fellings,2.2.a.1
RO,2006,0.98,fellings,2.2.a.1
RO,2007,0.89,fellings,2.2.a.1
RO,2008,1.00,fellings,2.2.a.1
RO,2009,1.05,fellings,2.2.a.1
RO,2010,1.11,fellings,2.2.a.1
RO,2011,0.88,fellings,2.2.a.1
RO,2012,0.89,fellings,2.2.a.1
RO,2013,0.91,fellings,2.2.a.1
RO,2014,0.91,fellings,2.2.a.1
RO,2015,0.83,fellings,2.2.a.1
SI,2000,0.44,fellings,2.2.a.1
SI,2001,0.42,fellings,2.2.a.1
SI,2002,0.43,fellings,2.2.a.1
SI,2003,0.50,fellings,2.2.a.1
SI,2004,0.47,fellings,2.2.a.1
SI,2005,0.50,fellings,2.2.a.1
SI,2006,0.65,fellings,2.2.a.1
SI,2007,0.52,fellings,2.2.a.1
SI,2008,0.54,fellings,2.2.a.1
SI,2009,0.53,fellings,2.2.a.1
SI,2010,0.53,fellings,2.2.a.1
SI,2011,0.62,fellings,2.2.a.1
SI,2012,0.61,fellings,2.2.a.1
SI,2013,0.64,fellings,2.2.a.1
SI,2014,0.78,fellings,2.2.a.1
SI,2015,0.73,fellings,2.2.a.1
SK,2000,0.55,fellings,2.2.a.1
SK,2001,0.55,fellings,2.2.a.1
SK,2002,0.55,fellings,2.2.a.1
SK,2003,0.55,fellings,2.2.a.1
SK,2004,0.61,fellings,2.2.a.1
SK,2005,0.67,fellings,2.2.a.1
SK,2006,0.74,fellings,2.2.a.1
